Municipality,pastures_area_munic
Alcácer do Sal,65038
Grândola,25736.0
Odemira,32776.0
Santiago do Cacém,25173.0
Sines,1561
Alter do Chão,16761.0
Arronches,5208.0
Avis,19192.0
Campo Maior,2601
Castelo de Vide,15402.0
Crato,18233.0
Elvas,15809.0
Fronteira,6588
Gavião,2572
Marvão,6906
Monforte,15662
Mora,12673.0
Nisa,15773.0
Ponte de Sor,33145.0
Portalegre,17684.0
Alandroal,12642.0
Arraiolos,20310.0
Borba,940.0
Estremoz,15069.0
Évora,47714.0
Montemor-o-Novo,41742.0
Mourão,13477.0
Portel,24564.0
Redondo,11217.0
Reguengos de Monsaraz,8327.0
Sousel,5257.0
Vendas Novas,12780
Viana do Alentejo,20072.0
Vila Viçosa,3867.0
Aljustrel,1891
Almodôvar,18335.0
Alvito,6081
Barrancos,12369
Beja,18038.0
Castro Verde,5642.0
Cuba,3632
Ferreira do Alentejo,9788
Mértola,34799
Moura,26586
Ourique,26279.0
Serpa,19925.0
Vidigueira,9453.0
Mação,147
Oleiros,10
Proença-a-Nova,72
Sertã,208
Vila de Rei,35
Fornos de Algodres,752
Gouveia,2455
Seia,1249
Almeida,15868
Celorico da Beira,4288
Figueira de Castelo Rodrigo,12148
Guarda,12350.0
Manteigas,768
Meda,2335
Pinhel,10177
Sabugal,18140.0
Trancoso,5196
Castelo Branco,22334.0
Idanha-a-Nova,47499.0
Penamacor,5033.0
Vila Velha de Ródão,1460
Belmonte,1169
Covilhã,2380
Fundão,3876
Águeda,117
Albergaria-a-Velha,584
Anadia,95
Aveiro,470
Estarreja,461
Ílhavo,56
Mealhada,13
Murtosa,110
Oliveira do Bairro,123
Ovar,15
Sever do Vouga,78
Vagos,286
Cantanhede,49
Coimbra,217
Condeixa-a-Nova,350
Figueira da Foz,93
Mira,29
Montemor-o-Velho,175
Penacova,12
Soure,665
Batalha,46
Leiria,255
Marinha Grande,53
Pombal,211
Porto de Mós,2106
Alvaiázere,115
Ansião,127
Arganil,114
Castanheira de Pêra,2
Figueiró dos Vinhos,27
Góis,202
Lousã,37
Miranda do Corvo,21
Oliveira do Hospital,186
Pampilhosa da Serra,41
Pedrógão Grande,3
Penela,204
Tábua,84
Vila Nova de Poiares,11
Aguiar da Beira,1165
Carregal do Sal,80
Castro Daire,1947
Mangualde,554
Mortágua,55
Nelas,180
Oliveira de Frades,294
Penalva do Castelo,461
Santa Comba Dão,229
São Pedro do Sul,700
Sátão,884
Tondela,734
Vila Nova de Paiva,1214
Viseu,848
Vouzela,676
Arcos de Valdevez,12923
Caminha,1642
Melgaço,5226
Monção,4234
Paredes de Coura,2027
Ponte da Barca,9121
Ponte de Lima,3909
Valença,815
Viana do Castelo,2924
Vila Nova de Cerveira,207
Amares,19
Barcelos,72
Braga,121
Esposende,2
Terras de Bouro,7204
Vila Verde,839
Fafe,215
Guimarães,51
Póvoa de Lanhoso,200
Santo Tirso,30
Trofa,27
Vieira do Minho,2872
Vila Nova de Famalicão,66
Vizela,5
Espinho,6
Gondomar,52
Maia,9
Matosinhos,7
Póvoa de Varzim,20
Valongo,11
Vila do Conde,38
Vila Nova de Gaia,53
Amarante,641
Baião,182
Cabeceiras de Basto,3392
Castelo de Paiva,20
Celorico de Basto,55
Cinfães,2424
Felgueiras,13
Lousada,24
Marco de Canaveses,473
Mondim de Basto,3759
Paços de Ferreira,59
Paredes,33
Penafiel,53
Resende,1836
Ribeira de Pena,1270
Arouca,1325
Oliveira de Azeméis,58
Santa Maria da Feira,27
São João da Madeira,0
Vale de Cambra,145
Porto,0
Alcobaça,657
Alenquer,550
Arruda dos Vinhos,103
Bombarral,13
Cadaval,65
Caldas da Rainha,222
Lourinhã,97
Mafra,1383
Nazaré,34
Óbidos,73
Peniche,143
Sobral de Monte Agraço,400
Torres Vedras,627
Amadora,120
Cascais,164
Loures,1540
Odivelas,98
Oeiras,44
Sintra,1537
Vila Franca de Xira,1286
Alcochete,1652
Almada,55
Barreiro,81
Moita,151
Montijo,8094
Palmela,6417
Seixal,745
Sesimbra,1354
Setúbal,3138
Abrantes,1290.0
Alcanena,213
Constância,15
Entroncamento,14
Ferreira do Zêzere,1165
Ourém,170
Sardoal,18
Tomar,1319
Torres Novas,414
Vila Nova da Barquinha,335
Almeirim,877
Alpiarça,3157
Azambuja,623
Benavente,16266
Cartaxo,818
Chamusca,14617
Coruche,43954
Golegã,640
Rio Maior,384
Salvaterra de Magos,3476
Santarém,1933.0
Lisboa,0
Alijó,808
Armamar,48
Carrazeda de Ansiães,834
Freixo de Espada à Cinta,1094
Lamego,1249
Mesão Frio,2
Moimenta da Beira,1276
Penedono,878
Peso da Régua,9
Sabrosa,698
Santa Marta de Penaguião,326
São João da Pesqueira,987
Sernancelhe,1406
Tabuaço,184
Tarouca,137
Torre de Moncorvo,2417
Vila Flor,626
Vila Nova de Foz Côa,3683
Vila Real,5292
Alfândega da Fé,1452
Boticas,7475
Bragança,8610
Chaves,5940
Macedo de Cavaleiros,3578
Miranda do Douro,6417
Mirandela,2082
Mogadouro,4734
Montalegre,26924
Murça,501
Valpaços,3185
Vila Pouca de Aguiar,5776
Vimioso,2880
Vinhais,5451
